word,count
perfect,1095.0
saying,1091.0
unfortunately,1090.0
case,1089.0
driver,1082.0
insurance,1077.0
program,1077.0
8,1063.0
reviews,1063.0
7,1059.0
loan,1056.0
house,1050.0
guys,1045.0
start,1041.0
kind,1041.0
paying,1035.0
half,1030.0
least,1027.0
kept,1026.0
big,1026.0
past,1023.0
option,1021.0
store,1015.0
instructions,1006.0
wouldn,1006.0
12,1001.0
tracking,998.0
arrive,997.0
read,996.0
today,994.0
those,994.0
real,993.0
calls,991.0
reply,991.0
cannot,990.0
info,989.0
immediately,986.0
appreciate,981.0
100,977.0
absolutely,976.0
emailed,975.0
unit,974.0
quite,973.0
completely,971.0
class,971.0
provide,970.0
hour,968.0
missing,961.0
services,947.0
ended,945.0
exactly,943.0
makes,943.0
wonderful,942.0
twice,938.0
app,938.0
believe,938.0
original,936.0
buying,936.0
fact,933.0
answered,929.0
hope,928.0
gift,928.0
family,927.0
taking,926.0
simple,924.0
maybe,924.0
00,923.0
problems,923.0
policy,921.0
show,917.0
test,915.0
lost,913.0
knowledgeable,912.0
rate,910.0
discount,907.0
timely,906.0
myself,905.0
additional,903.0
terrible,899.0
plan,897.0
especially,894.0
15,892.0
requested,890.0
24,888.0
asking,887.0
request,882.0
packaging,877.0
forward,875.0
meals,868.0
beautiful,867.0
looked,865.0
showed,862.0
office,861.0
life,860.0
either,857.0
looks,856.0
companies,855.0
seem,852.0
rep,847.0
etc,846.0
ok,846.0
side,839.0
supposed,835.0
question,834.0
message,830.0
everyone,829.0
probably,826.0
via,825.0
reached,825.0
damaged,822.0
color,821.0
taken,820.0
works,816.0
add,809.0
booking,808.0
others,805.0
travel,803.0
changed,800.0
although,799.0
spent,797.0
fees,790.0
sign,789.0
informed,788.0
under,787.0
installation,786.0
seemed,785.0
front,783.0
included,782.0
promised,781.0
live,779.0
representative,778.0
ups,776.0
design,775.0
entire,775.0
open,766.0
leave,765.0
shop,765.0
print,764.0
heard,763.0
mail,763.0
hold,756.0
pleased,754.0
large,752.0
says,751.0
door,750.0
move,748.0
disappointing,748.0
explained,748.0
expect,746.0
happened,745.0
picture,742.0
bag,741.0
giving,740.0
decided,739.0
pictures,737.0
parking,734.0
fix,733.0
install,732.0
returned,732.0
scam,722.0
awesome,722.0
horrible,721.0
short,721.0
material,720.0
50,720.0
actual,719.0
plus,719.0
spoke,717.0
continue,716.0
local,716.0
receiving,715.0
cancelled,713.0
rather,712.0
flight,710.0
boxes,710.0
stay,708.0
waste,708.0
might,708.0
slow,707.0
based,702.0
takes,702.0
isn,700.0
per,699.0
stated,693.0
close,692.0
reach,692.0
trust,689.0
installed,687.0
situation,686.0
sending,684.0
talk,681.0
training,680.0
initial,680.0
respond,679.0
satisfied,677.0
lack,676.0
